TailNum,sum(Distance)
N926DL,961
N430SW,960
N381DL,958
N784AS,957
N335UA,957
N995Z,957
N984TW,957
N529US,957
N967DL,956
N14889,956
N969AS,954
N343UA,954
N785AS,954
N924FJ,952
N171UW,951
N628DL,950
-N629D,950
-N130D,950
N938UA,948
N559AU,946
N686D1,946
N3BMAA,946
N841MH,946
N967AT,946
N321NB,946
N907DE,944
N645DL,944
N585JB,944
N988UA,942
N13133,940
N659AW,940
N665,940
N73751,938
N18220,938
N974AS,937
N656SW,937
N569AS,937
N595AA,936
N17146,936
N835AE,936
N637SW,935
N332,934
N9406W,934
N712DA,932
N319US,931
N952N,931
N605NW,931
N315NB,931
N308AW,930
N8911E,930
N620NW,930
N576AA,929
N224AA,929
N902DL,929
N14125,929
N675AA,928
N378,927
N628MQ,927
N763NW,926
N431CA,926
N398SW,925
